DATETIME,OPEN,HIGH,LOW,CLOSE
2021-02-15,1.2121,1.2147,1.2118,1.213
2021-02-16,1.2131,1.2171,1.2096,1.2106
2021-02-17,1.2107,1.2112,1.2024,1.2043
2021-02-18,1.2039,1.2097,1.2036,1.2095
2021-02-19,1.2094,1.2146,1.2083,1.212
2021-02-22,1.2121,1.2171,1.2092,1.2159
2021-02-23,1.216,1.2181,1.2136,1.2152
2021-02-24,1.2151,1.2176,1.2111,1.2171
2021-02-25,1.2168,1.2243,1.2156,1.2176
2021-02-26,1.2175,1.2186,1.2063,1.2074
2021-03-01,1.2077,1.2103,1.2028,1.2049
2021-03-02,1.205,1.2097,1.1993,1.2091
2021-03-03,1.2092,1.2114,1.2044,1.2063
2021-03-04,1.2064,1.2068,1.1962,1.1973
2021-03-05,1.1971,1.198,1.1895,1.1913
2021-03-08,1.1919,1.1934,1.1844,1.1846
2021-03-09,1.1847,1.1917,1.1836,1.1901
2021-03-10,1.19,1.1932,1.1869,1.1929
2021-03-11,1.1931,1.1992,1.1916,1.1985
2021-03-12,1.1988,1.199,1.191,1.1955
2021-03-15,1.1955,1.1967,1.1913,1.1931
2021-03-16,1.193,1.1953,1.1884,1.1905
2021-03-17,1.1904,1.1987,1.1886,1.1982
2021-03-18,1.1979,1.199,1.1907,1.1918
2021-03-19,1.1916,1.1939,1.1875,1.1907
2021-03-22,1.1949,1.195,1.1874,1.1934
2021-03-23,1.1933,1.1943,1.1843,1.1851
2021-03-24,1.1849,1.1855,1.181,1.1815
2021-03-25,1.1814,1.183,1.1762,1.1764
2021-03-26,1.1766,1.1806,1.1765,1.1796
2021-03-29,1.1825,1.1825,1.1761,1.1765
2021-03-30,1.1767,1.1776,1.1713,1.1718
2021-03-31,1.1717,1.176,1.1704,1.1732
2021-04-01,1.1731,1.1781,1.1714,1.1779
2021-04-02,1.1778,1.1788,1.1752,1.176
2021-04-05,1.1765,1.1822,1.1738,1.1813
2021-04-06,1.1815,1.188,1.1796,1.1874
2021-04-07,1.1873,1.1916,1.1861,1.1873
2021-04-08,1.1869,1.1928,1.1861,1.1918
2021-04-09,1.1914,1.1922,1.1868,1.1902
2021-04-12,1.1901,1.1921,1.1873,1.1913
2021-04-13,1.1911,1.1957,1.1881,1.195
2021-04-14,1.1949,1.1989,1.1948,1.1981
2021-04-15,1.1982,1.1995,1.1957,1.1967
2021-04-16,1.1968,1.1996,1.1951,1.1982
