DATETIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-04-21,7.093763,7.23922,6.838257,6.855161,358109518
2023-04-22,6.855353,6.914036,6.347485,6.41432,306890111
2023-04-23,6.414324,6.510822,6.392637,6.470323,161904834
2023-04-24,6.470394,6.470743,6.239583,6.441066,189612922
2023-04-25,6.440935,6.577858,6.378284,6.399703,201492998
2023-04-26,6.399665,6.641929,6.320252,6.623719,179847364
2023-04-27,6.62356,6.783266,6.167822,6.34137,324429529
2023-04-28,6.341543,6.548722,6.335628,6.499907,701065339
2023-04-29,6.500177,6.526032,6.339053,6.335956,212665788
2023-04-30,6.335794,6.480016,6.302361,6.459419,139836572
2023-05-01,6.458863,6.556947,6.40462,6.40462,155739442
2023-05-02,6.403563,6.430456,6.212532,6.291515,184599903
2023-05-03,6.291626,6.361086,6.222451,6.345132,133924368
2023-05-04,6.345001,6.452304,6.188964,6.43529,176860881
2023-05-05,6.43561,6.45599,6.328669,6.348248,118763482
2023-05-06,6.34822,6.60466,6.330099,6.454514,169801811
2023-05-07,6.454447,6.488097,6.167718,6.193687,145017860
2023-05-08,6.193513,6.235901,6.155346,6.271018,105922699
2023-05-09,6.2706,6.274528,5.87974,5.994283,231466158
2023-05-10,5.99419,6.028936,5.914131,5.950258,123823139
2023-05-11,5.95027,6.080348,5.818729,6.005768,186008121
2023-05-12,6.005826,6.005826,5.741751,5.834712,172222410
2023-05-13,5.834866,6.057827,5.724476,6.053138,159679714
2023-05-14,6.053621,6.055572,5.93794,5.943215,98263353
2023-05-15,5.943057,6.039411,5.910544,6.029433,82430379
2023-05-16,6.029706,6.167488,5.967926,6.104797,127782646
2023-05-17,6.10471,6.163058,6.037784,6.128472,126968764
2023-05-18,6.128119,6.271255,6.038002,6.231719,155878013
2023-05-19,6.231335,6.233222,5.999083,6.064737,130346603
2023-05-20,6.06492,6.055181,5.998837,6.016048,94406794
2023-05-21,6.016309,6.044195,5.992354,6.020348,63802458
2023-05-22,6.020037,6.046449,5.905593,5.94056,83908683
2023-05-23,5.94012,6.079882,5.882327,6.040206,129178166
2023-05-24,6.04033,6.135704,6.022692,6.04331,99158533
2023-05-25,6.043329,6.044158,5.791497,5.882608,135260271
2023-05-26,5.882859,5.906721,5.776621,5.855548,103376529
2023-05-27,5.855677,5.945786,5.821321,5.919289,96158938
2023-05-28,5.91871,6.0013,5.914317,6.0013,73130900
2023-05-29,6.001261,6.204211,5.989664,6.192216,111484149
2023-05-30,6.192063,6.220866,6.110079,6.202026,116590196
2023-05-31,6.201668,6.214003,6.107923,6.162782,116512222
2023-06-01,6.162522,6.176237,6.03497,6.059861,118285123
2023-06-02,6.059943,6.084401,5.892999,5.898041,111078154
2023-06-03,5.898231,6.015297,5.880631,6.026376,106130202
2023-06-04,6.026488,6.027663,5.956128,5.989554,68222408
2023-06-05,5.989538,6.096825,5.976017,6.035447,80290803
2023-06-06,6.035245,6.063402,5.619871,5.663159,194377353
2023-06-07,5.663156,5.896868,5.619844,5.851814,173334408
2023-06-08,5.851473,5.850052,5.479984,5.523491,150149820
